optimizer,learning_rate,mean,std
Adadelta,0.001,0.43972601890563967,0.09278512434136209
Adadelta,0.002,0.434246563911438,0.03032320785796478
Adadelta,0.003,0.42465752363204956,0.0
Adadelta,0.005,0.43287670612335205,0.009578168135114706
Adadelta,0.010,0.4547945141792297,0.025668436397418507
Adadelta,0.015,0.5890411138534546,0.012915199278688288
Adadelta,0.020,0.5876712501049042,0.010107742235536146
Adadelta,0.030,0.6315068423748016,0.03127103455020331
Adadelta,0.040,0.658904105424881,0.01985121167119138
Adadelta,0.050,0.6712328791618347,0.012915199278688304
Adadelta,0.060,0.6657534241676331,0.018491751226881476
Adadelta,0.070,0.68493150472641,0.030288803157042035
Adagrad,0.001,0.5767123460769653,0.045410270619627054
Adagrad,0.002,0.616438364982605,0.03355464226991098
Adagrad,0.003,0.6506849229335785,0.011641603308036548
Adagrad,0.005,0.658904105424881,0.017625816821081778
Adagrad,0.010,0.6643835604190826,0.013312682700483212
Adagrad,0.015,0.6849315106868744,0.07558422271191567
Adagrad,0.020,0.6616438329219818,0.012995668588546441
Adagrad,0.030,0.6863013684749604,0.05863624802863405
Adagrad,0.040,0.6890410959720612,0.06712483976208979
Adagrad,0.050,0.7000000059604645,0.08025365537880334
Adagrad,0.060,0.7328767120838166,0.09648650860039325
Adagrad,0.070,0.791780811548233,0.14451170905702432
Adam,0.001,0.7520547926425933,0.09908781034195119
Adam,0.002,0.8068493068218231,0.07087192429377817
Adam,0.003,0.8219177961349488,0.055924412795589545
Adam,0.005,0.817808210849762,0.05208281385234981
Adam,0.010,0.793150681257248,0.06968520677133282
Adam,0.015,0.7890411019325256,0.09451061686445553
Adam,0.020,0.7712328672409058,0.05556910912618004
Adam,0.030,0.7356164276599884,0.11837849811747721
Adam,0.040,0.6876712262630462,0.14722752552135432
Adam,0.050,0.6506849348545074,0.1250924972350754
Adam,0.060,0.6520547926425934,0.13315807328913895
Adam,0.070,0.632876706123352,0.14465592138311453
AdamW,0.001,0.8164383471012115,0.06654771014494643
AdamW,0.002,0.8136986315250396,0.05746897123921745
AdamW,0.003,0.8205479443073272,0.0338331135881638
AdamW,0.005,0.8369863033294678,0.06004174013266523
AdamW,0.010,0.8082191646099091,0.04566209713618194
AdamW,0.015,0.7698630094528198,0.05433599004607059
AdamW,0.020,0.7794520556926727,0.06693819955517968
AdamW,0.030,0.750684916973114,0.06353435406353232
AdamW,0.040,0.7616438269615173,0.0677893844364941
AdamW,0.050,0.6821917653083801,0.14665995489733757
AdamW,0.060,0.6863013684749604,0.1513683179904665
AdamW,0.070,0.5958904087543487,0.14912015060626468
Nadam,0.001,0.7602739691734314,0.07454258179648149
Nadam,0.002,0.8410958766937255,0.05332895972752709
Nadam,0.003,0.8356164395809174,0.043797546796091776
Nadam,0.005,0.8,0.10654054958064611
Nadam,0.010,0.7917808055877685,0.1193869662008498
Nadam,0.015,0.7534246504306793,0.12621256117293503
Nadam,0.020,0.7780821919441223,0.0803445354268516
Nadam,0.030,0.7506849348545075,0.13557877128192136
Nadam,0.040,0.7068493127822876,0.10614842776168854
Nadam,0.050,0.6205479323863983,0.1591047370574098
Nadam,0.060,0.5876712262630462,0.14632548169615636
Nadam,0.070,0.6712328672409058,0.13043704795132663
RMSprop,0.001,0.867123281955719,0.05248163952234083
RMSprop,0.002,0.7876712262630463,0.03609905930741234
RMSprop,0.003,0.8246575355529785,0.06254207142133385
RMSprop,0.005,0.8410958886146546,0.05925526766256743
RMSprop,0.010,0.8301369786262512,0.054105255383074244
RMSprop,0.015,0.81506849527359,0.1027650915643677
RMSprop,0.020,0.8315068304538726,0.0508676652758955
RMSprop,0.030,0.7356164395809174,0.145983109235803
RMSprop,0.040,0.7041095852851867,0.11805220720738423
RMSprop,0.050,0.7424657464027404,0.13293867914870083
RMSprop,0.060,0.6643835484981537,0.1290307835641119
RMSprop,0.070,0.5452054738998413,0.15589445579063377
SGD,0.001,0.4698630064725876,0.06587065494713855
SGD,0.002,0.5493150770664215,0.06599714878092745
SGD,0.003,0.5794520676136017,0.05631453971877545
SGD,0.005,0.6342465698719024,0.028185015541204613
SGD,0.010,0.6602739691734314,0.010805630971200225
SGD,0.015,0.6630136966705322,0.013234141114127587
SGD,0.020,0.6630136966705322,0.009578168135114709
SGD,0.030,0.6616438329219818,0.012995668588546476
SGD,0.040,0.6616438329219818,0.011277712931320594
SGD,0.050,0.6616438329219818,0.006617070557063797
SGD,0.060,0.6657534241676331,0.0070739459796120225
SGD,0.070,0.6835616409778595,0.07347201029932632
